id,title,links,published_date,rating,quality,genre,short_description,date_crawl
post-41787,The Crow – Báo Thù,https://ohitv.info/phim-le/the-crow-bao-thu/,2024-08-21,4.6,1080p,Phim Chiếu Rạp,"The Crow – Báo Thù (2024) là một bộ phim hành động, viễn tưởng kể về câu chuyện đầy bi kịch của Eric, một người đàn ông bị sát hại dã man ...",2024-09-17
post-41787,The Crow – Báo Thù,https://ohitv.info/phim-le/the-crow-bao-thu/,2024-08-21,4.6,1080p,Phim Gây Cấn,"The Crow – Báo Thù (2024) là một bộ phim hành động, viễn tưởng kể về câu chuyện đầy bi kịch của Eric, một người đàn ông bị sát hại dã man ...",2024-09-17
post-41787,The Crow – Báo Thù,https://ohitv.info/phim-le/the-crow-bao-thu/,2024-08-21,4.6,1080p,Phim Giả Tượng,"The Crow – Báo Thù (2024) là một bộ phim hành động, viễn tưởng kể về câu chuyện đầy bi kịch của Eric, một người đàn ông bị sát hại dã man ...",2024-09-17
post-41787,The Crow – Báo Thù,https://ohitv.info/phim-le/the-crow-bao-thu/,2024-08-21,4.6,1080p,Phim Hành Động,"The Crow – Báo Thù (2024) là một bộ phim hành động, viễn tưởng kể về câu chuyện đầy bi kịch của Eric, một người đàn ông bị sát hại dã man ...",2024-09-17
post-41787,The Crow – Báo Thù,https://ohitv.info/phim-le/the-crow-bao-thu/,2024-08-21,4.6,1080p,Phim Kinh Dị,"The Crow – Báo Thù (2024) là một bộ phim hành động, viễn tưởng kể về câu chuyện đầy bi kịch của Eric, một người đàn ông bị sát hại dã man ...",2024-09-17
post-41195,Chàng Nữ Phi Công,https://ohitv.info/phim-le/chang-nu-phi-cong/,2024-07-31,6.7,,Phim Chiếu Rạp,"Chàng Nữ Phi Công (2024) là một bộ phim hài hước và đầy bất ngờ xoay quanh câu chuyện của HAN Jung-woo (do CHO Jung-seok thủ vai), một cơ trưởng ...",2024-09-17
post-41195,Chàng Nữ Phi Công,https://ohitv.info/phim-le/chang-nu-phi-cong/,2024-07-31,6.7,,Phim Hài,"Chàng Nữ Phi Công (2024) là một bộ phim hài hước và đầy bất ngờ xoay quanh câu chuyện của HAN Jung-woo (do CHO Jung-seok thủ vai), một cơ trưởng ...",2024-09-17
post-42290,Quỷ Án,https://ohitv.info/phim-le/quy-an/,2024-07-19,6.7,1080p,Phim Bí Ẩn,"Quỷ Án (2024) là một bộ phim kinh dị siêu nhiên của Ireland do Damian Mc Carthy đạo diễn. Bộ phim xoay quanh Darcy, một người mù sở hữu cửa hàng ...",2024-09-17
post-42290,Quỷ Án,https://ohitv.info/phim-le/quy-an/,2024-07-19,6.7,1080p,Phim Chiếu Rạp,"Quỷ Án (2024) là một bộ phim kinh dị siêu nhiên của Ireland do Damian Mc Carthy đạo diễn. Bộ phim xoay quanh Darcy, một người mù sở hữu cửa hàng ...",2024-09-17
post-42290,Quỷ Án,https://ohitv.info/phim-le/quy-an/,2024-07-19,6.7,1080p,Phim Kinh Dị,"Quỷ Án (2024) là một bộ phim kinh dị siêu nhiên của Ireland do Damian Mc Carthy đạo diễn. Bộ phim xoay quanh Darcy, một người mù sở hữu cửa hàng ...",2024-09-17
post-27551,Dự Án Mật: Thảm Họa Trên Cầu,https://ohitv.info/phim-le/du-an-mat-tham-hoa-tren-cau/,2024-07-11,6.0,1080p,Phim Chiếu Rạp,"Trong điều kiện thời tiết xấu đi đột ngột, tầm nhìn trên cây cầu dẫn đến sân bay bị suy giảm nghiêm trọng, khiến người dân bị mắc kẹt và đối mặt ...",2024-09-17
post-27551,Dự Án Mật: Thảm Họa Trên Cầu,https://ohitv.info/phim-le/du-an-mat-tham-hoa-tren-cau/,2024-07-11,6.0,1080p,Phim Gây Cấn,"Trong điều kiện thời tiết xấu đi đột ngột, tầm nhìn trên cây cầu dẫn đến sân bay bị suy giảm nghiêm trọng, khiến người dân bị mắc kẹt và đối mặt ...",2024-09-17
post-27551,Dự Án Mật: Thảm Họa Trên Cầu,https://ohitv.info/phim-le/du-an-mat-tham-hoa-tren-cau/,2024-07-11,6.0,1080p,Phim Hành Động,"Trong điều kiện thời tiết xấu đi đột ngột, tầm nhìn trên cây cầu dẫn đến sân bay bị suy giảm nghiêm trọng, khiến người dân bị mắc kẹt và đối mặt ...",2024-09-17
post-27536,Lốc Xoáy Tử Thần,https://ohitv.info/phim-le/loc-xoay-tu-than/,2024-07-10,7.1,1080p,Phim Chiếu Rạp,"Kate Cooper, một nhà săn bão từng trải qua cơn lốc xoáy thời đại học, hiện tại đang làm nhà nghiên cứu các đặc điểm và hiện tượng của những cơn ...",2024-09-17
post-27536,Lốc Xoáy Tử Thần,https://ohitv.info/phim-le/loc-xoay-tu-than/,2024-07-10,7.1,1080p,Phim Gây Cấn,"Kate Cooper, một nhà săn bão từng trải qua cơn lốc xoáy thời đại học, hiện tại đang làm nhà nghiên cứu các đặc điểm và hiện tượng của những cơn ...",2024-09-17
post-27536,Lốc Xoáy Tử Thần,https://ohitv.info/phim-le/loc-xoay-tu-than/,2024-07-10,7.1,1080p,Phim Hành Động,"Kate Cooper, một nhà săn bão từng trải qua cơn lốc xoáy thời đại học, hiện tại đang làm nhà nghiên cứu các đặc điểm và hiện tượng của những cơn ...",2024-09-17
post-27536,Lốc Xoáy Tử Thần,https://ohitv.info/phim-le/loc-xoay-tu-than/,2024-07-10,7.1,1080p,Phim Phiêu Lưu,"Kate Cooper, một nhà săn bão từng trải qua cơn lốc xoáy thời đại học, hiện tại đang làm nhà nghiên cứu các đặc điểm và hiện tượng của những cơn ...",2024-09-17
post-35938,Đẹp Trai…Thấy Sai Sai,https://ohitv.info/phim-le/dep-trai-thay-sai-sai/,2024-06-26,6.9,1080p,Phim Chiếu Rạp,"“Đẹp Trai…Thấy Sai Sai” là một bộ phim hài tình huống dài tập, xoay quanh cuộc sống của hai người đàn ông tự nhận là “Những anh chàng ...",2024-09-17
post-35938,Đẹp Trai…Thấy Sai Sai,https://ohitv.info/phim-le/dep-trai-thay-sai-sai/,2024-06-26,6.9,1080p,Phim Hài,"“Đẹp Trai…Thấy Sai Sai” là một bộ phim hài tình huống dài tập, xoay quanh cuộc sống của hai người đàn ông tự nhận là “Những anh chàng ...",2024-09-17
post-35938,Đẹp Trai…Thấy Sai Sai,https://ohitv.info/phim-le/dep-trai-thay-sai-sai/,2024-06-26,6.9,1080p,Phim Kinh Dị,"“Đẹp Trai…Thấy Sai Sai” là một bộ phim hài tình huống dài tập, xoay quanh cuộc sống của hai người đàn ông tự nhận là “Những anh chàng ...",2024-09-17
post-27224,Vây Hãm Trên Không,https://ohitv.info/phim-le/vay-ham-tren-khong/,2024-06-21,7.4,1080p,Phim Chiếu Rạp,"“Từ giờ trở đi, chiếc máy bay này sẽ tới Triều Tiên!” là một bộ phim hành động ly kỳ dựa trên sự kiện có thật với sự tham gia của Ha ...",2024-09-17
post-27224,Vây Hãm Trên Không,https://ohitv.info/phim-le/vay-ham-tren-khong/,2024-06-21,7.4,1080p,Phim Gây Cấn,"“Từ giờ trở đi, chiếc máy bay này sẽ tới Triều Tiên!” là một bộ phim hành động ly kỳ dựa trên sự kiện có thật với sự tham gia của Ha ...",2024-09-17
post-27224,Vây Hãm Trên Không,https://ohitv.info/phim-le/vay-ham-tren-khong/,2024-06-21,7.4,1080p,Phim Hành Động,"“Từ giờ trở đi, chiếc máy bay này sẽ tới Triều Tiên!” là một bộ phim hành động ly kỳ dựa trên sự kiện có thật với sự tham gia của Ha ...",2024-09-17
post-27224,Vây Hãm Trên Không,https://ohitv.info/phim-le/vay-ham-tren-khong/,2024-06-21,7.4,1080p,Phim Hình Sự,"“Từ giờ trở đi, chiếc máy bay này sẽ tới Triều Tiên!” là một bộ phim hành động ly kỳ dựa trên sự kiện có thật với sự tham gia của Ha ...",2024-09-17
post-23135,Kẻ Trộm Mặt Trăng 4,https://ohitv.info/phim-le/ke-trom-mat-trang-4/,2024-06-20,6.3,CAM,Phim Chiếu Rạp,"Trong “Kẻ Trộm Mặt Trăng 4”, sau khi Maxime Le Mal và bạn gái Valentina lên kế hoạch trả thù, Gru đứng trước thách thức chưa từng có. ...",2024-09-17
post-23135,Kẻ Trộm Mặt Trăng 4,https://ohitv.info/phim-le/ke-trom-mat-trang-4/,2024-06-20,6.3,CAM,Phim Gia Đình,"Trong “Kẻ Trộm Mặt Trăng 4”, sau khi Maxime Le Mal và bạn gái Valentina lên kế hoạch trả thù, Gru đứng trước thách thức chưa từng có. ...",2024-09-17
post-23135,Kẻ Trộm Mặt Trăng 4,https://ohitv.info/phim-le/ke-trom-mat-trang-4/,2024-06-20,6.3,CAM,Phim Hài,"Trong “Kẻ Trộm Mặt Trăng 4”, sau khi Maxime Le Mal và bạn gái Valentina lên kế hoạch trả thù, Gru đứng trước thách thức chưa từng có. ...",2024-09-17
post-23135,Kẻ Trộm Mặt Trăng 4,https://ohitv.info/phim-le/ke-trom-mat-trang-4/,2024-06-20,6.3,CAM,Phim Hành Động,"Trong “Kẻ Trộm Mặt Trăng 4”, sau khi Maxime Le Mal và bạn gái Valentina lên kế hoạch trả thù, Gru đứng trước thách thức chưa từng có. ...",2024-09-17
post-23135,Kẻ Trộm Mặt Trăng 4,https://ohitv.info/phim-le/ke-trom-mat-trang-4/,2024-06-20,6.3,CAM,Phim Hoạt Hình,"Trong “Kẻ Trộm Mặt Trăng 4”, sau khi Maxime Le Mal và bạn gái Valentina lên kế hoạch trả thù, Gru đứng trước thách thức chưa từng có. ...",2024-09-17
post-18846,Những Kẻ Theo Dõi,https://ohitv.info/phim-le/nhung-ke-theo-doi/,2024-06-06,0.0,,Phim Bí Ẩn,"Mina, một họa sĩ 28 tuổi, quyết định đi dạo trong khu rừng hoang sơ ở phía tây Ireland để tìm cảm hứng cho các tác phẩm nghệ thuật của mình. Tuy ...",2024-09-17
